year,Base case cost,Modeled non-residential energy efficiency
2017,463671.598506,494664.165001
2018,497858.858192,525775.070131
2019,544866.340261,568962.970512
2020,566233.377565,588068.739131
2021,580762.962932,600769.342242
2022,591873.82233,610278.334562
2023,599565.955759,616595.18914
2024,605548.726204,621326.438532
2025,613240.859634,627685.674516
2026,622642.356047,635672.406322
2027,630334.489477,642072.060366
2028,636317.259922,646884.168612
2029,644864.074844,654125.891898
2030,649992.163796,658172.118812
2031,659393.66021,666254.125692
