year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2003,,1.72,
2012,,,4.55
2013,,,4.55
2014,,,5.55
2016,start of forecast,3.53,5.73
2017,,4.09,6.29
2018,,4.49,6.69
2019,,5.04,7.24
2020,,5.29,7.49
2021,,5.46,7.66
2022,,5.59,7.79
2023,,5.68,7.88
2024,,5.75,7.95
2025,,5.84,8.04
2026,,5.95,8.15
2027,,6.04,8.24
2028,,6.11,8.31
2029,,6.21,8.41
2030,,6.27,8.47
2031,,6.38,8.58
2032,,6.49,8.69
2033,,6.59,8.79
2034,,6.71,8.91
2035,,6.78,8.98
2036,,6.89,9.09
2037,,6.96,9.16
2038,,7.08,9.28
2039,,7.17,9.37
2040,,7.29,9.49
