year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,10278.9408781,6681.31157077
2018,10340.6816193,6721.44305253
2019,10403.8013768,6762.47089494
2020,10467.955734,6804.17122713
2021,10533.3409221,6846.67159936
2022,10600.3861122,6890.25097294
2023,10669.1749793,6934.96373657
2024,10739.5860599,6980.73093893
2025,10811.252264,7027.31397158
2026,10884.0710224,7074.64616453
2027,10957.8695868,7122.61523145
2028,11032.7883153,7171.31240498
2029,11109.9797622,7221.48684541
2030,11188.4749179,7272.50869666
2031,11268.2818802,7324.38322215
