year,Base case cost,Modeled biomass for heat (cordwood)
2017,724331.192999,887547.121988
2018,767228.592999,916698.970927
2019,824975.092999,956890.635709
2020,853023.392999,975181.760376
2021,872822.192999,987430.460231
2022,886021.392999,994855.351374
2023,895920.792999,999895.042404
2024,904170.292999,1003768.21173
2025,914069.692999,1008913.52878
2026,925618.992999,1015329.77041
2027,935518.392999,1020575.82029
2028,943767.892999,1024650.51192
2029,955317.192999,1031212.58904
2030,961916.792999,1034161.13448
2031,975115.992999,1042034.78852
2032,,
2033,,
2034,,
2035,,
2036,,
