year,population
2003,759.0
2004,780.0
2005,798.0
2006,813.0
2007,799.0
2008,783.0
2009,806.0
2010,813.0
2011,839.0
2012,859.0
2013,880.0
2014,901.0
2015,923.0
2016,945.0
2017,967.0
2018,990.0
2019,1014.0
2020,1037.0
2021,1062.0
2022,1086.0
2023,1112.0
2024,1138.0
2025,1165.0
2026,1192.0
2027,1219.0
2028,1247.0
2029,1275.0
2030,1304.0
2031,1334.0
2032,1364.0
2033,1394.0
2034,1425.0
2035,1457.0
2036,1489.0
2037,1522.0
2038,1556.0
2039,1590.0
2040,1625.0
