year,Base case cost,Modeled water and wastewater efficiency
2017,99622.8772631,116283.906628
2018,104928.658658,118887.294826
2019,111942.079646,122699.203019
2020,115753.407195,124317.71132
2021,118697.25212,125359.575376
2022,120947.251638,125944.563362
2023,122863.777539,126321.7827
2024,124626.362069,126615.051212
2025,126605.309028,127080.33687
2026,128803.592425,127719.175562
2027,130840.247788,128267.112814
2028,132713.381786,128722.36137
2029,135016.294269,129495.631007
2030,136767.602019,129906.417623
2031,139334.709341,130901.625516
