year,Base case cost,Modeled non-residential energy efficiency
2017,1587294.31483,1575412.73212
2018,1661798.41017,1636718.85618
2019,1762092.38466,1721086.97473
2020,1810806.60084,1759678.53985
2021,1845193.10638,1785634.04881
2022,1868117.4434,1801500.36712
2023,1885310.69617,1812373.89602
2024,1899638.40681,1820801.62193
2025,1916831.65958,1831880.06407
2026,1936890.45448,1845606.84959
2027,1954083.70725,1856880.71223
2028,1968411.41789,1865699.38906
2029,1988470.21279,1879709.09372
2030,1999932.3813,1886160.29554
2031,2022856.71833,1902897.20863
