year,Base case cost,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,570504.731609,913982.102046,923720.425922
2020,605142.518885,929629.354115,936319.069545
2021,629377.770244,937803.60626,942094.339353
2022,645672.340347,940421.409832,942836.637991
2023,657668.577601,940040.022857,940851.439138
2024,667621.037235,938368.946893,937722.118865
2025,679833.617185,938627.233356,936415.966921
2026,693844.41536,940348.078069,936465.723191
2027,705811.435915,940764.524804,935355.280988
2028,715736.765758,939873.985452,933081.617385
2029,729970.16735,942401.916897,933992.822462
2030,737851.023937,940382.811014,930751.210399
2031,753854.122692,944507.707067,933167.883726
2032,767814.835098,947307.291853,934401.370771
2033,782033.628341,950537.966803,936082.039366
2034,798010.292939,955155.554231,939039.687294
2035,807886.232649,955457.151584,938073.63328
2036,823842.723813,960380.687683,941367.562095
2037,833702.663902,960984.764098,940733.608452
2038,849638.981632,966199.141118,944347.305251
