year,Base case diesel consumed,Modeled diesel efficiency
2019,203751.68986,185228.808964
2020,203751.68986,185228.808964
2021,203682.126293,185165.569357
2022,203682.126293,185165.569357
2023,203612.562725,185102.32975
2024,203542.999157,185039.090143
2025,203542.999157,185039.090143
2026,203473.435589,184975.850536
2027,203403.872022,184912.610929
2028,203334.308454,184849.371322
2029,203334.308454,184849.371322
2030,203264.744886,184786.131715
2031,203195.181319,184722.892108
2032,203125.617751,184659.652501
2033,203125.617751,184659.652501
2034,203056.054183,184596.412894
2035,202986.490615,184533.173287
2036,202916.927048,184469.93368
2037,202847.36348,184406.694073
2038,202777.799912,184343.454466
