year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,203890.82,10278.94,164989.75,208869.62
2018,203821.25,10340.68,164989.75,214308.15
2019,203751.69,10403.8,164989.75,219746.67
2020,203751.69,10467.96,164989.75,226272.9
2021,203682.13,10533.34,164989.75,231711.42
2022,203682.13,10600.39,164989.75,238237.65
2023,203612.56,10669.17,164989.75,244763.88
2024,203543.0,10739.59,164989.75,251290.11
2025,203543.0,10811.25,164989.75,257816.34
2026,203473.44,10884.07,164989.75,264342.57
2027,203403.87,10957.87,164989.75,270868.8
2028,203334.31,11032.79,164989.75,277395.03
2029,203334.31,11109.98,164989.75,285008.96
2030,203264.74,11188.47,164989.75,291535.19
2031,203195.18,11268.28,164989.75,299149.12
2032,203125.62,,,306763.06
2033,203125.62,,,314376.99
2034,203056.05,,,321990.92
2035,202986.49,,,329604.86
2036,202916.93,,,337218.79
