year,Base case diesel consumed,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,203751.68986,140555.762436,125848.952941
2020,203751.68986,140555.762436,125848.952941
2021,203682.126293,140486.198868,125779.389373
2022,203682.126293,140486.198868,125779.389373
2023,203612.562725,140416.635301,125709.825805
2024,203542.999157,140347.071733,125640.262237
2025,203542.999157,140347.071733,125640.262237
2026,203473.435589,140277.508165,125570.69867
2027,203403.872022,140207.944597,125501.135102
2028,203334.308454,140138.38103,125431.571534
2029,203334.308454,140138.38103,125431.571534
2030,203264.744886,140068.817462,125362.007966
2031,203195.181319,139999.253894,125292.444399
2032,203125.617751,139929.690327,125222.880831
2033,203125.617751,139929.690327,125222.880831
2034,203056.054183,139860.126759,125153.317263
2035,202986.490615,139790.563191,125083.753696
2036,202916.927048,139720.999623,125014.190128
2037,202847.36348,139651.436056,124944.62656
2038,202777.799912,139581.872488,124875.062992
