year,Base case diesel consumed,Modeled solar power (pv)
2016,203890.816996,200670.808425
2017,203890.816996,200696.568494
2018,203821.253428,200652.558914
2019,203751.68986,200608.344903
2020,203751.68986,200633.491662
2021,203682.126293,200588.87368
2022,203682.126293,200613.619701
2023,203612.562725,200568.604186
2024,203542.999157,200523.392287
2025,203542.999157,200547.549142
2026,203473.435589,200501.949174
2027,203403.872022,200456.157498
2028,203334.308454,200410.175646
2029,203334.308454,200433.568708
2030,203264.744886,200387.211059
2031,203195.181319,200340.667762
2032,203125.617751,200293.940302
2033,203125.617751,200316.593722
2034,203056.054183,200269.502346
2035,202986.490615,200222.231193
