year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,52525.47,6337.65,58044.75,13502.06
2018,52437.19,6333.16,58044.75,13502.06
2019,52348.91,6328.94,58044.75,12842.26
2020,52260.63,6324.56,58044.75,12842.26
2021,52172.35,6319.83,58044.75,12182.46
2022,52084.08,6314.54,58044.75,12182.46
2023,51995.8,6308.68,58044.75,11522.66
2024,51819.24,6303.26,58044.75,11522.66
2025,51730.96,6298.29,58044.75,10862.86
2026,51642.69,6293.91,58044.75,10862.86
2027,51554.41,6289.32,58044.75,10203.07
2028,51466.13,6284.6,58044.75,10203.07
2029,51466.13,6282.3,58044.75,9543.27
2030,51377.85,6279.41,58044.75,9543.27
2031,51289.57,6275.94,58044.75,9543.27
