year,Base case diesel consumed,Modeled residential ashp
2017,2134.30721581,-11367.7513433
2018,2134.30721581,-11367.7513433
2019,2030.01106801,-11472.0474911
2020,2030.01106801,-11472.0474911
2021,1925.71492021,-11576.3436389
2022,1925.71492021,-11576.3436389
2023,1821.41877242,-11680.6397867
2024,1821.41877242,-11680.6397867
2025,1717.12262462,-11784.9359345
2026,1717.12262462,-11784.9359345
2027,1612.82647682,-11889.2320823
2028,1612.82647682,-11889.2320823
2029,1508.53032902,-11993.5282301
2030,1508.53032902,-11993.5282301
2031,1508.53032902,-11993.5282301
