year,Base case cost,Pedro bay (knutson creek),Knutson creek,Knutson creek hydroelectric project design and permitting,Pedro bay (canyon creek)
2021,97113.2970795,809406.275083,834480.361003,,1102551.31413
2022,99280.1252091,809244.121258,833970.983213,,1102389.16031
2023,100659.015837,809140.93246,833646.83371,,1102285.97151
2024,101840.922089,809052.48492,833368.991278,,1102197.52397
2025,103219.812717,808949.296122,833044.841775,,1102094.33517
2026,104795.687721,808831.366068,832674.3852,,1101976.40512
2027,106174.578349,808728.17727,832350.235697,,1101873.21632
2028,107356.484601,808639.72973,832072.393266,,1101784.76878
2029,108932.359604,808521.799675,831701.936691,,1101666.83873
2030,109917.281482,808448.093391,831470.401331,,1101593.13244
2031,111493.156485,808330.163337,831099.944756,,1101475.20239
2032,113266.015864,808197.492026,830683.181109,,1101342.53108
2033,114841.890867,808079.561972,830312.724534,,1101224.60102
2034,116614.750246,807946.890661,829895.960888,,1101091.92971
2035,117796.656498,807858.44312,829618.118456,,1101003.48217
2036,118989.081334,807145.337266,828620.920266,,1100290.37632
2037,120554.437754,807652.065525,828969.81945,,1100797.10458
2038,122327.297133,807519.394214,828553.055803,,1100664.43326
2039,123706.187761,807416.205416,828228.9063,,1100561.24447
2040,125479.047139,807283.534105,827812.142653,,1100428.57316
2041,124869.925551,806674.412517,827203.021065,,1099819.45157
2042,124869.925551,806674.412517,827203.021065,,1099819.45157
2043,124869.925551,806674.412517,827203.021065,,1099819.45157
2044,125479.047139,807283.534105,827812.142653,,1100428.57316
2045,125479.047139,807283.534105,827812.142653,,1100428.57316
2046,125479.047139,807283.534105,827812.142653,,1100428.57316
2047,125479.047139,807283.534105,827812.142653,,1100428.57316
2048,125479.047139,807283.534105,827812.142653,,1100428.57316
2049,125479.047139,807283.534105,827812.142653,,1100428.57316
2050,125479.047139,807283.534105,827812.142653,,1100428.57316
