year,Base case cost,Modeled transmission and interties
2021,194226.594159,1849653.34049
2022,198560.250418,1853680.48904
2023,201318.031674,1856299.59328
2024,203681.844179,1858411.65974
2025,206439.625435,1861030.76398
2026,209591.375441,1864156.906
2027,212349.156697,1866776.01024
2028,214712.969202,1869043.1034
2029,217864.719209,1872014.21872
2030,219834.562963,1873774.27411
2031,222986.31297,1876900.41613
2032,226532.031727,1880223.54252
2033,229683.781734,1883349.68454
2034,233229.500491,1886672.81093
2035,235593.312996,1888939.9041
2036,237978.162667,1891221.27863
2037,241108.875508,1894333.13928
2038,244654.594265,1897656.26567
2039,247412.375521,1900275.36991
2040,250958.094279,1903753.52301
