year,Base case diesel consumed,Modeled residential ashp
2017,170454.055733,12100.1334337
2018,171798.559491,13444.6371912
2019,171798.559491,13444.6371912
2020,173143.063248,14789.1409487
2021,173143.063248,14789.1409487
2022,174487.567006,16133.6447062
2023,174487.567006,16133.6447062
2024,174487.567006,16133.6447062
2025,175832.070763,17478.1484637
2026,175832.070763,17478.1484637
2027,175832.070763,17478.1484637
2028,175832.070763,17478.1484637
2029,175832.070763,17478.1484637
2030,175832.070763,17478.1484637
2031,175832.070763,17478.1484637
