year,Base case cost,Modeled wind power
2019,1179282.95299,1384128.43068
2020,1233270.05858,1427217.83073
2021,1268087.96054,1454984.27616
2022,1296988.40636,1478115.34846
2023,1319103.94591,1495743.59749
2024,1335285.50647,1508719.95054
2025,1354602.03893,1524190.23399
2026,1379571.66177,1544031.52481
2027,1398298.8789,1558912.49292
2028,1414216.76215,1571625.16866
2029,1435753.31316,1588674.42915
2030,1451359.32743,1601075.23591
2031,1472882.79783,1618111.4158
2032,1497846.91305,1637947.199
2033,1522475.06345,1657447.01738
2034,1549869.17522,1679071.75563
2035,1565115.81729,1691113.19019
2036,1592472.06417,1712700.06355
2037,1607698.74112,1724721.53298
2038,1631902.80479,1743797.26463
