year,Base case cost,Modeled diesel efficiency
2019,1179282.95299,1440290.31804
2020,1233270.05858,1489369.50494
2021,1268087.96054,1521022.14308
2022,1296988.40636,1547295.27565
2023,1319103.94591,1567400.3116
2024,1335285.50647,1582110.8212
2025,1354602.03893,1599671.30526
2026,1379571.66177,1622370.96239
2027,1398298.8789,1639395.70523
2028,1414216.76215,1653866.50819
2029,1435753.31316,1673445.19092
2030,1451359.32743,1687632.47662
2031,1472882.79783,1707199.2679
2032,1497846.91305,1729893.9181
2033,1522475.06345,1752283.14573
2034,1549869.17522,1777186.8837
2035,1565115.81729,1791047.46741
2036,1592472.06417,1815916.78275
2037,1607698.74112,1829759.21634
2038,1631902.80479,1851762.91058
