year,Base case cost,Point lay wind generation design,Modeled wind power
2019,921894.475574,764869.120388,1079872.71444
2020,976781.589808,799778.259542,1107829.76402
2021,1014609.47847,822883.603192,1124240.59133
2022,1041534.69132,838609.271701,1133491.46798
2023,1060088.08205,848619.20554,1137225.6797
2024,1075535.28407,856446.676638,1138938.81785
2025,1094020.441,866503.499904,1143005.09805
2026,1118007.72349,880387.031082,1151001.46479
2027,1136104.41299,890165.176965,1155061.03551
2028,1151719.87336,898380.548314,1157706.16281
2029,1172826.60393,910407.957422,1164257.25668
2030,1182867.05263,914881.530686,1163448.09358
2031,1206663.59063,928833.118909,1172153.61107
2032,1230418.2579,942791.01483,1180984.78213
2033,1253777.47927,956400.514127,1189584.10528
2034,1277080.87299,970000.132314,1198287.36443
2035,1292463.71814,978320.51702,1201873.86628
2036,1315671.73961,991913.450657,1210790.1348
2037,1330987.12634,1000252.98604,1214610.33222
2038,1354483.5907,1014218.94175,1224109.13928
