year,Base case diesel consumed,Modeled solar power
2020,278285.353222,274653.824665
2021,277975.199582,274372.723254
2022,277742.584352,274168.927835
2023,277509.969122,273964.901857
2024,277199.815483,273683.108756
2025,276967.200253,273478.62718
2026,276734.585023,273273.920534
2027,276424.431383,272991.452211
2028,276191.816154,272786.300814
2029,275959.200924,272580.929707
2030,275726.585694,272375.340647
2031,275493.970464,272169.535378
2032,275261.355234,271963.515629
2033,274951.201595,271679.744706
2034,274641.047955,271395.762721
2035,274408.432725,271189.109773
2036,274098.279086,270904.710717
2037,273865.663856,270697.644034
2038,273633.048626,270490.372963
2039,273322.894986,270205.360729
