year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,2484047.0,418085.0,2065962.0
2004,,2392660.0,390787.0,2001873.0
2005,,2334931.0,345310.0,1989621.0
2006,,2528304.0,307679.0,2220625.0
2009,,2792939.0,510790.0,2282149.0
2010,,2638949.0,435987.0,2202962.0
2011,,2377139.0,420450.0,1956689.0
2012,,3194389.0,451528.0,2742861.0
2013,,3514002.0,448387.0,3065615.0
2014,start of forecast,3008287.0,419898.0,2588388.0
2015,,3004955.0,416567.0,2588388.0
2016,,3001634.0,413246.0,2588388.0
2017,,2998371.0,409983.0,2588388.0
2018,,2995219.0,406831.0,2588388.0
2019,,2992148.0,403759.0,2588388.0
2020,,2989167.0,400779.0,2588388.0
2021,,2986181.0,397792.0,2588388.0
2022,,2983377.0,394988.0,2588388.0
2023,,2980626.0,392237.0,2588388.0
2024,,2977936.0,389547.0,2588388.0
2025,,2975240.0,386852.0,2588388.0
2026,,2972503.0,384115.0,2588388.0
2027,,2969706.0,381318.0,2588388.0
2028,,2966877.0,378489.0,2588388.0
2029,,2964356.0,375968.0,2588388.0
2030,,2961838.0,373450.0,2588388.0
2031,,2959203.0,370815.0,2588388.0
2032,,2956541.0,368153.0,2588388.0
2033,,2953515.0,365127.0,2588388.0
2034,,2950488.0,362099.0,2588388.0
2035,,2947553.0,359165.0,2588388.0
2036,,2944715.0,356327.0,2588388.0
2037,,2941991.0,353602.0,2588388.0
2038,,2939220.0,350831.0,2588388.0
2039,,2936323.0,347934.0,2588388.0
2040,,2933325.0,344937.0,2588388.0
