year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,140381.022028,103881.956301
2018,140381.022028,103881.956301
2019,140381.022028,103881.956301
2020,140381.022028,103881.956301
2021,140381.022028,103881.956301
2022,140381.022028,103881.956301
2023,140381.022028,103881.956301
2024,140381.022028,103881.956301
2025,140381.022028,103881.956301
2026,140381.022028,103881.956301
2027,140381.022028,103881.956301
2028,140381.022028,103881.956301
2029,140381.022028,103881.956301
2030,140381.022028,103881.956301
2031,140381.022028,103881.956301
