year,Base case diesel consumed,Point lay wind generation design,Modeled wind power
2019,278517.968451,195993.568538,194362.22062
2020,278285.353222,195760.953309,194129.605391
2021,277975.199582,195450.799669,193819.451751
2022,277742.584352,195218.184439,193586.836521
2023,277509.969122,194985.569209,193354.221291
2024,277199.815483,194675.41557,193044.067652
2025,276967.200253,194442.80034,192811.452422
2026,276734.585023,194210.18511,192578.837192
2027,276424.431383,193900.03147,192268.683552
2028,276191.816154,193667.416241,192036.068323
2029,275959.200924,193434.801011,191803.453093
2030,275726.585694,193202.185781,191570.837863
2031,275493.970464,192969.570551,191338.222633
2032,275261.355234,192736.955322,191105.607404
2033,274951.201595,192426.801682,190795.453764
2034,274641.047955,192116.648042,190485.300124
2035,274408.432725,191884.032812,190252.684894
2036,274098.279086,191573.879173,189942.531255
2037,273865.663856,191341.263943,189709.916025
2038,273633.048626,191108.648713,189477.300795
