year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,11685.0220457,7595.26432971
2018,11688.8756473,7597.76917077
2019,11692.6305003,7600.20982518
2020,11696.2743276,7602.57831296
2021,11699.9254944,7604.95157137
2022,11703.3536759,7607.17988936
2023,11706.7168701,7609.36596559
2024,11710.0056025,7611.50364161
2025,11713.3012739,7613.64582804
2026,11716.6468535,7615.82045476
2027,11720.0667615,7618.04339495
2028,11723.5253683,7620.29148937
2029,11726.6071286,7622.29463362
2030,11729.6858198,7624.29578288
2031,11732.9072963,7626.38974257
