year,Base case cost,Modeled solar power
2020,976781.589808,1003053.98404
2021,1014609.47847,1039665.75879
2022,1041534.69132,1065544.24546
2023,1060088.08205,1083180.87544
2024,1075535.28407,1097767.89359
2025,1094020.441,1115378.35753
2026,1118007.72349,1138442.2153
2027,1136104.41299,1155705.27886
2028,1151719.87336,1170540.75619
2029,1172826.60393,1190818.5513
2030,1182867.05263,1200183.39477
2031,1206663.59063,1223154.82407
2032,1230418.2579,1246103.37811
2033,1253777.47927,1268675.07625
2034,1277080.87299,1291209.14008
2035,1292463.71814,1305937.04044
2036,1315671.73961,1328410.1908
2037,1330987.12634,1343102.80803
2038,1354483.5907,1365897.39994
2039,1372080.93283,1382871.56921
