year,Base case diesel consumed,Modeled residential ashp
2017,16728.10396,-70461.9203138
2018,16459.4204581,-70730.6038157
2019,15922.0534542,-71267.9708196
2020,15653.3699522,-71536.6543216
2021,15384.6864503,-71805.3378235
2022,14847.3194464,-72342.7048274
2023,14578.6359444,-72611.3883294
2024,14041.2689405,-73148.7553332
2025,13772.5854386,-73417.4388352
2026,13235.2184347,-73954.8058391
2027,12966.5349328,-74223.489341
2028,12697.8514308,-74492.172843
2029,12160.4844269,-75029.5398469
2030,11623.117423,-75566.9068508
2031,11354.4339211,-75835.5903527
