year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,53794.38,0.0,33379.64,87190.02
2018,51731.71,0.0,33379.64,85789.6
2019,49504.03,0.0,33379.64,82988.74
2020,47276.35,0.0,33379.64,81588.31
2021,45048.67,0.0,33379.64,80187.88
2022,42903.5,0.0,33379.64,77387.02
2023,40345.79,0.0,33379.64,75986.59
2024,37953.09,0.0,33379.64,73185.73
2025,35560.4,0.0,33379.64,71785.31
2026,33085.2,0.0,33379.64,68984.45
2027,30775.01,0.0,33379.64,67584.02
2028,28547.33,0.0,33379.64,66183.59
2029,25824.6,0.0,33379.64,63382.73
2030,23266.9,0.0,33379.64,60581.87
2031,20791.69,0.0,33379.64,59181.45
