year,Base case cost,Modeled solar power (pv)
2016,431858.878983,466963.547777
2017,518518.96093,551608.622382
2018,582624.845734,614070.141568
2019,668726.465404,698264.387387
2020,712588.092657,740843.153165
2021,745094.785659,772255.921761
2022,770677.942579,796865.442289
2023,788996.901428,814328.240767
2024,805257.228708,829783.920826
2025,824088.576696,847798.241328
2026,845528.641597,868409.224935
2027,864674.124616,886775.59098
2028,881239.511914,902610.666625
2029,903670.149279,924267.593549
2030,918509.888141,938441.854815
2031,940763.911811,959956.844177
2032,965462.604099,983903.99647
2033,987534.429451,1005270.90462
2034,1012318.98531,1029337.76819
2035,1029579.65815,1045984.02482
