year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,48270.41,2771908.0,2771908.0
2004,,48270.41,2887400.0,2887400.0
2005,,48270.41,2935260.0,2935260.0
2006,,48270.41,2888527.0,2888527.0
2007,,48270.41,2906994.0,2906994.0
2008,,48270.41,3261679.0,3261679.0
2009,,48270.41,3256624.0,3256624.0
2010,,48270.41,3331248.0,3331248.0
2011,,48270.41,3168326.0,3168326.0
2012,,48270.41,3289443.0,3289443.0
2013,,48270.41,3319849.0,3319849.0
2014,,48270.41,3285120.0,3285120.0
2015,,48270.41,3350432.0,3350432.0
2016,start of forecast,48270.41,3344000.0,3344000.0
2017,,48270.41,3361000.0,3361000.0
2018,,48270.41,3379000.0,3379000.0
2019,,48270.41,3397000.0,3397000.0
2020,,48270.41,3414000.0,3414000.0
2021,,48270.41,3432000.0,3432000.0
2022,,48270.41,3450000.0,3450000.0
2023,,48270.41,3467000.0,3467000.0
2024,,48270.41,3485000.0,3485000.0
2025,,48270.41,3503000.0,3503000.0
2026,,48270.41,3521000.0,3521000.0
2027,,48270.41,3539000.0,3539000.0
2028,,48270.41,3556000.0,3556000.0
2029,,48270.41,3576000.0,3576000.0
2030,,48270.41,3595000.0,3595000.0
2031,,48270.41,3613000.0,3613000.0
2032,,48270.41,3630000.0,3630000.0
2033,,48270.41,3646000.0,3646000.0
2034,,48270.41,3662000.0,3662000.0
2035,,48270.41,3678000.0,3678000.0
2036,,48270.41,3694000.0,3694000.0
2037,,48270.41,3711000.0,3711000.0
2038,,48270.41,3728000.0,3728000.0
2039,,48270.41,3744000.0,3744000.0
2040,,48270.41,3759000.0,3759000.0
