year,Base case diesel consumed,Modeled solar power (pv)
2016,233437.231883,230067.581429
2017,234623.964222,231281.270972
2018,235880.504346,232564.552642
2019,237137.044469,233847.620379
2020,238323.776808,235060.668111
2021,239580.316932,236343.313104
2022,240836.857056,237625.749259
2023,242023.589395,238838.17046
2024,243280.129519,240120.193936
2025,244536.669643,241402.013544
2026,245793.209766,242683.630917
2027,247049.74989,243965.047671
2028,248236.482229,245176.457628
2029,249632.637922,246597.093518
2030,250958.985831,247947.725782
2031,252215.525955,249228.355986
2032,253402.258294,250438.985685
2033,254519.182848,251579.61642
2034,255636.107403,252720.057506
2035,256753.031957,253860.310459
