year,Base case cost,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,518518.96093,821509.802609,
2018,582624.845734,859206.236716,
2019,668726.465404,913261.902993,880832.217984
2020,712588.092657,937012.221167,901080.257101
2021,745094.785659,952874.471479,914343.471541
2022,770677.942579,963973.131287,923389.177083
2023,788996.901428,969962.686682,927871.608426
2024,805257.228708,974742.013563,931332.49172
2025,824088.576696,981634.184639,936737.755792
2026,845528.641597,990672.377346,944120.343986
2027,864674.124616,998250.832497,950231.172605
2028,881239.511914,1004079.72681,954780.195113
2029,903670.149279,1014647.26907,963720.046081
2030,918509.888141,1019748.08191,967737.395653
2031,940763.911811,1030477.47805,976856.635963
2032,965462.604099,1043163.87436,987762.885063
2033,987534.429451,1054033.86003,997039.438044
2034,1012318.98531,1067121.34237,1008363.10442
2035,1029579.65815,1074789.96236,1014811.14439
2036,1054688.12213,1088501.97245,1026774.9131
2037,1072494.69184,,1034077.63341
2038,1098227.23742,,1046967.03008
