year,Base case diesel consumed,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,234623.964222,172870.793286,
2018,235880.504346,174127.33341,
2019,237137.044469,175383.873533,158455.475647
2020,238323.776808,176570.605873,159642.207986
2021,239580.316932,177827.145996,160898.74811
2022,240836.857056,179083.68612,162155.288233
2023,242023.589395,180270.418459,163342.020572
2024,243280.129519,181526.958583,164598.560696
2025,244536.669643,182783.498707,165855.10082
2026,245793.209766,184040.038831,167111.640944
2027,247049.74989,185296.578954,168368.181068
2028,248236.482229,186483.311293,169554.913407
2029,249632.637922,187879.466987,170951.0691
2030,250958.985831,189205.814895,172277.417008
2031,252215.525955,190462.355019,173533.957132
2032,253402.258294,191649.087358,174720.689471
2033,254519.182848,192766.011912,175837.614026
2034,255636.107403,193882.936467,176954.53858
2035,256753.031957,194999.861021,178071.463134
2036,257869.956512,196116.785576,179188.387689
2037,259056.688851,,180375.120028
2038,260243.42119,,181561.852367
