year,annotation,Average Load
2003,,297.0
2004,,307.0
2005,,316.0
2006,,314.0
2007,,312.0
2008,,353.0
2009,,353.0
2010,,344.0
2011,,346.0
2012,,355.0
2013,,357.0
2014,,351.0
2015,,360.0
2016,start of forecast,359.0
2017,,361.0
2018,,363.0
2019,,365.0
2020,,366.0
2021,,368.0
2022,,370.0
2023,,372.0
2024,,374.0
2025,,376.0
2026,,378.0
2027,,380.0
2028,,382.0
2029,,384.0
2030,,386.0
2031,,388.0
2032,,390.0
2033,,391.0
2034,,393.0
2035,,395.0
2036,,397.0
2037,,398.0
2038,,400.0
2039,,402.0
2040,,403.0
