year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,234623.96,1513.64,205550.13,466863.61
2018,235880.5,1368.47,205550.13,483035.94
2019,237137.04,1220.09,205550.13,496512.89
2020,238323.78,1071.33,205550.13,509989.84
2021,239580.32,924.25,205550.13,526162.18
2022,240836.86,776.96,205550.13,539639.13
2023,242023.59,630.22,205550.13,553116.08
2024,243280.13,481.46,205550.13,569288.41
2025,244536.67,332.28,205550.13,582765.36
2026,245793.21,182.35,205550.13,598937.7
2027,247049.75,34.37,205550.13,612414.65
2028,248236.48,-112.3,205550.13,625891.6
2029,249632.64,-275.41,205550.13,642063.93
2030,250958.99,-434.52,205550.13,658236.27
2031,252215.53,-587.9,205550.13,671713.22
2032,253402.26,,,685190.17
2033,254519.18,,,698667.12
2034,255636.11,,,712144.07
2035,256753.03,,,725621.01
2036,257869.96,,,739097.96
