year,Base case diesel consumed,Modeled diesel efficiency
2019,237137.044469,215579.131336
2020,238323.776808,216657.978917
2021,239580.316932,217800.28812
2022,240836.857056,218942.597324
2023,242023.589395,220021.444905
2024,243280.129519,221163.754108
2025,244536.669643,222306.063312
2026,245793.209766,223448.372515
2027,247049.74989,224590.681718
2028,248236.482229,225669.529299
2029,249632.637922,226938.761748
2030,250958.985831,228144.532574
2031,252215.525955,229286.841777
2032,253402.258294,230365.689358
2033,254519.182848,231381.075317
2034,255636.107403,232396.461275
2035,256753.031957,233411.847234
2036,257869.956512,234427.233192
2037,259056.688851,235506.080773
2038,260243.42119,236584.928354
