year,Base case diesel consumed,Modeled wind power
2019,267974.960174,203148.994451
2020,268832.355335,204006.389612
2021,269689.750495,204863.784772
2022,270469.200641,205643.234918
2023,271248.650787,206422.685064
2024,272028.100933,207202.13521
2025,272885.496094,208059.530371
2026,273664.94624,208838.980517
2027,274522.3414,209696.375677
2028,275379.736561,210553.770838
2029,276159.186707,211333.220984
2030,276938.636853,212112.67113
2031,277796.032013,212970.06629
2032,278731.372188,213905.406465
2033,279666.712363,214840.746641
2034,280679.997553,215854.03183
2035,281615.337728,216789.372005
2036,282472.732889,217646.767166
2037,283330.128049,218504.162326
2038,284265.468224,219439.502502
