year,Base case cost,Modeled water and wastewater efficiency
2017,44502.8201213,43641.869438
2018,53367.3137977,49298.8915704
2019,65368.651044,57095.6359459
2020,71121.1784675,60656.1653983
2021,74964.953167,62928.3430806
2022,77940.8630771,64619.0199673
2023,80048.2631717,65727.5095749
2024,81634.4647205,66489.5433569
2025,83745.6062992,67615.6463221
2026,86207.7695113,68987.5147469
2027,88324.3985709,70131.7325724
2028,90094.7731239,71047.6353408
2029,92386.6127345,72324.6586236
2030,93807.4217801,73016.465133
2031,96279.4644698,74429.0230172
