year,Base case diesel consumed,Modeled solar power (pv)
2016,265246.884663,261912.222631
2017,266182.224839,262874.240102
2018,267117.565014,263836.044155
2019,267974.960174,264719.691482
2020,268832.355335,265603.128792
2021,269689.750495,266486.357765
2022,270469.200641,267291.435053
2023,271248.650787,268096.307324
2024,272028.100933,268900.976217
2025,272885.496094,269783.388376
2026,273664.94624,270587.655383
2027,274522.3414,271469.668871
2028,275379.736561,272351.485411
2029,276159.186707,273155.161567
2030,276938.636853,273958.643914
2031,277796.032013,274839.879018
2032,278731.372188,275798.868417
2033,279666.712363,276757.668622
2034,280679.997553,277794.226162
2035,281615.337728,278752.652508
