year,annotation,Average Load
2003,,345.0
2004,,369.0
2005,,364.0
2006,,333.0
2007,,350.0
2008,,349.0
2009,,363.0
2010,,351.0
2011,,344.0
2012,,402.0
2013,,375.0
2014,,369.0
2015,,361.0
2016,start of forecast,362.0
2017,,363.0
2018,,364.0
2019,,365.0
2020,,366.0
2021,,368.0
2022,,369.0
2023,,370.0
2024,,371.0
2025,,372.0
2026,,373.0
2027,,374.0
2028,,375.0
2029,,376.0
2030,,378.0
2031,,379.0
2032,,380.0
2033,,381.0
2034,,383.0
2035,,384.0
2036,,385.0
2037,,386.0
2038,,387.0
2039,,389.0
2040,,390.0
