year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12282.9332118,7983.90658769
2018,12285.8894012,7985.82811079
2019,12288.7164166,7987.6656708
2020,12291.6002793,7989.54018151
2021,12294.4196883,7991.37279742
2022,12297.0757617,7993.09924511
2023,12299.6713849,7994.78640016
2024,12302.2176337,7996.44146188
2025,12304.8640991,7998.16166439
2026,12307.5686127,7999.91959824
2027,12310.4089725,8001.76583213
2028,12313.343277,8003.67313008
2029,12315.837616,8005.29445043
2030,12318.3798615,8006.94690999
2031,12321.0841083,8008.70467037
