year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.3
2004,,1.98,2.45
2005,,3.23,2.45
2006,,3.21,1.4
2008,,,1.4
2009,,4.17,1.4
2010,,2.17,1.4
2011,,1.59,1.4
2012,,3.26,1.4
2013,,5.54,2.75
2014,,7.32,1.4
2016,start of forecast,3.59,3.59
2017,,4.27,4.27
2018,,4.78,4.78
2019,,5.47,5.47
2020,,5.8,5.8
2021,,6.02,6.02
2022,,6.19,6.19
2023,,6.31,6.31
2024,,6.4,6.4
2025,,6.52,6.52
2026,,6.66,6.66
2027,,6.78,6.78
2028,,6.88,6.88
2029,,7.01,7.01
2030,,7.09,7.09
2031,,7.23,7.23
2032,,7.37,7.37
2033,,7.52,7.52
2034,,7.67,7.67
2035,,7.77,7.77
2036,,7.92,7.92
2037,,8.02,8.02
2038,,8.17,8.17
2039,,8.29,8.29
2040,,8.46,8.46
