year,Base case cost,Modeled wind power
2019,1465823.03215,1567022.95531
2020,1559227.66094,1628139.95745
2021,1623532.29798,1667864.7349
2022,1674204.35197,1697581.06317
2023,1711578.98647,1717618.81789
2024,1740979.84597,1731937.0734
2025,1779213.43453,1753259.07248
2026,1822608.54196,1778588.3832
2027,1861261.47469,1800735.31489
2028,1894612.58754,1819135.52568
2029,1935875.89881,1843599.93213
2030,1963494.93528,1858005.20639
2031,2008465.31145,1885865.85517
2032,2054250.21303,1914719.01108
2033,2103093.67697,1946124.83647
2034,2152815.58123,1978578.83878
2035,2188151.17415,2000210.80335
2036,2237184.04448,2032303.40341
2037,2272307.62695,2054043.31042
2038,2322448.87539,2087556.7426
