year,Base case diesel consumed,Modeled non-residential ashp
2017,299893.704113,209925.592789
2018,299893.704113,209925.592789
2019,299893.704113,209925.592789
2020,299893.704113,209925.592789
2021,299893.704113,209925.592789
2022,299893.704113,209925.592789
2023,299893.704113,209925.592789
2024,299893.704113,209925.592789
2025,299893.704113,209925.592789
2026,299893.704113,209925.592789
2027,299893.704113,209925.592789
2028,299893.704113,209925.592789
2029,299893.704113,209925.592789
2030,299893.704113,209925.592789
2031,299893.704113,209925.592789
