year,Base case diesel consumed,"Glennallen, alaska heat recovery study"
2019,299893.704113,230054.704113
2020,299893.704113,230054.704113
2021,299893.704113,230054.704113
2022,299893.704113,230054.704113
2023,299893.704113,230054.704113
2024,299893.704113,230054.704113
2025,299893.704113,230054.704113
2026,299893.704113,230054.704113
2027,299893.704113,230054.704113
2028,299893.704113,230054.704113
2029,299893.704113,230054.704113
2030,299893.704113,230054.704113
2031,299893.704113,230054.704113
