year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,299894.0,221746.107372
2018,299894.0,221746.107372
2019,299894.0,221746.107372
2020,299894.0,221746.107372
2021,299894.0,221746.107372
2022,299894.0,221746.107372
2023,299894.0,221746.107372
2024,299894.0,221746.107372
2025,299894.0,221746.107372
2026,299894.0,221746.107372
2027,299894.0,221746.107372
2028,299894.0,221746.107372
2029,299894.0,221746.107372
2030,299894.0,221746.107372
2031,299894.0,221746.107372
2032,,
2033,,
2034,,
2035,,
2036,,
