year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,299894.0,213931.318109
2018,299894.0,213931.318109
2019,299894.0,213931.318109
2020,299894.0,213931.318109
2021,299894.0,213931.318109
2022,299894.0,213931.318109
2023,299894.0,213931.318109
2024,299894.0,213931.318109
2025,299894.0,213931.318109
2026,299894.0,213931.318109
2027,299894.0,213931.318109
2028,299894.0,213931.318109
2029,299894.0,213931.318109
2030,299894.0,213931.318109
2031,299894.0,213931.318109
2032,,
2033,,
2034,,
2035,,
2036,,
