year,Base case cost,Modeled biomass for heat (pellet)
2017,864462.573156,1008093.0723
2018,945433.953156,1065854.52819
2019,1056394.73316,1145009.11589
2020,1113374.59316,1185656.06633
2021,1149361.87316,1211327.82451
2022,1179351.27316,1232720.95632
2023,1197344.91316,1245556.83541
2024,1215338.55316,1258392.71449
2025,1233332.19316,1271228.59358
2026,1257323.71316,1288343.09903
2027,1278316.29316,1303318.29129
2028,1296309.93316,1316154.17038
2029,1317302.51316,1331129.36265
2030,1332297.21316,1341825.92855
2031,1356288.73316,1358940.434
2032,,
2033,,
2034,,
2035,,
2036,,
