year,Base case cost,"Glennallen, alaska heat recovery study"
2019,1056393.69088,929729.675475
2020,1113373.49466,973440.069257
2021,1149360.73915,1001046.63375
2022,1179350.10956,1024052.10416
2023,1197343.73181,1037855.38641
2024,1215337.35406,1051658.66866
2025,1233330.9763,1065461.9509
2026,1257322.47263,1083866.32723
2027,1278315.03192,1099970.15652
2028,1296308.65417,1113773.43877
2029,1317301.21346,1129877.26805
2030,1332295.89866,1141380.00326
2031,1356287.39499,1159784.37959
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
