year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,53064.0,44559.704788
2018,51664.0,43159.704788
2019,51664.0,43159.704788
2020,51664.0,43159.704788
2021,51664.0,43159.704788
2022,50263.0,41758.704788
2023,50263.0,41758.704788
2024,50263.0,41758.704788
2025,50263.0,41758.704788
2026,48863.0,40358.704788
2027,48863.0,40358.704788
2028,48863.0,40358.704788
2029,47463.0,38958.704788
2030,47463.0,38958.704788
2031,47463.0,38958.704788
2032,46062.0,37557.704788
2033,46062.0,37557.704788
2034,46062.0,37557.704788
2035,46062.0,37557.704788
2036,44662.0,36157.704788
