year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,53064.0,45332.8225345
2018,51664.0,43932.8225345
2019,51664.0,43932.8225345
2020,51664.0,43932.8225345
2021,51664.0,43932.8225345
2022,50263.0,42531.8225345
2023,50263.0,42531.8225345
2024,50263.0,42531.8225345
2025,50263.0,42531.8225345
2026,48863.0,41131.8225345
2027,48863.0,41131.8225345
2028,48863.0,41131.8225345
2029,47463.0,39731.8225345
2030,47463.0,39731.8225345
2031,47463.0,39731.8225345
2032,46062.0,38330.8225345
2033,46062.0,38330.8225345
2034,46062.0,38330.8225345
2035,46062.0,38330.8225345
2036,44662.0,36930.8225345
