year,Base case cost,Modeled biomass for heat (pellet)
2017,152960.185872,166673.157197
2018,162873.881291,174051.181399
2019,181989.561291,189786.374213
2020,191805.721291,197758.302147
2021,198005.401291,202714.404246
2022,197662.284149,201303.023134
2023,200678.064149,203595.816468
2024,203693.844149,205893.595635
2025,206709.624149,208196.243783
2026,204861.079568,205469.236308
2027,208281.489568,208100.869786
2028,211213.269568,210333.450808
2029,208484.094987,206824.462605
2030,210857.244987,208592.209413
2031,214654.284987,211532.940529
2032,212003.137845,208029.608689
2033,216148.717845,211241.988565
2034,220294.297845,214458.301572
2035,223058.017845,216551.724381
2036,220298.013264,212870.044678
