year,Base case cost,Modeled wind power
2019,600669.606118,815252.231001
2020,645326.778092,839587.107071
2021,678039.961099,855854.894093
2022,701938.834347,865951.268287
2023,721893.603599,873512.535979
2024,737408.532026,878038.754807
2025,755425.978095,884623.786302
2026,777685.787407,894388.669267
2027,796190.798819,901791.51445
2028,813120.075312,908392.763292
2029,832952.272271,916208.149199
2030,845534.999074,919385.213092
2031,868874.125518,931007.887376
2032,895103.234241,945665.464491
2033,922731.029016,961863.251474
2034,953244.720326,980470.345217
2035,974984.959308,992898.142441
2036,1005591.2608,1011864.61859
2037,1027556.21565,1024777.65152
2038,1059730.08057,1045566.10503
