year,annotation,Average Load
2003,,491.0
2004,,550.0
2005,,547.0
2006,,558.0
2007,,557.0
2008,,531.0
2009,,497.0
2010,,484.0
2011,,505.0
2012,,491.0
2013,,495.0
2014,start of forecast,505.0
2015,,507.0
2016,,509.0
2017,,511.0
2018,,513.0
2019,,514.0
2020,,515.0
2021,,516.0
2022,,517.0
2023,,519.0
2024,,520.0
2025,,521.0
2026,,522.0
2027,,524.0
2028,,525.0
2029,,525.0
2030,,526.0
2031,,527.0
2032,,530.0
2033,,532.0
2034,,535.0
2035,,538.0
2036,,541.0
2037,,544.0
2038,,547.0
2039,,550.0
2040,,554.0
