year,Base case cost,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,678039.961099,809184.227165,867523.752184,711311.831237,729496.15178
2022,701938.834347,830437.440813,883497.13053,733502.320064,751334.55197
2023,721893.603599,847819.807795,896162.141365,751901.240817,769389.63618
2024,737408.532026,860834.172716,905020.093685,766012.268108,783164.885578
2025,755425.978095,876402.394835,916245.88993,782586.042825,799410.752197
2026,777685.787407,896256.595796,931321.701749,803298.13508,819802.621715
2027,796190.798819,912423.779166,943267.046212,820405.692958,836597.462071
2028,813120.075312,927075.346461,954003.442482,836023.529881,851909.910772
2029,832952.272271,944663.207907,966987.493928,854374.921387,869963.071615
2030,845534.999074,955078.342448,973848.248668,865752.966638,881049.875968
2031,868874.125518,976274.447292,990550.216634,887653.322459,902665.816863
2032,895103.234241,1000409.4175,1010243.96629,912463.941999,927198.68745
2033,922731.029016,1025990.81108,1031435.81537,938693.053662,953156.559891
2034,953244.720326,1054498.3484,1055355.78734,967763.689458,981962.313646
2035,974984.959308,1074303.44497,1071616.54418,988334.618773,1002274.56908
2036,1005591.2608,1102993.57727,1095816.52043,1017535.19917,1031222.53827
2037,1027556.21565,1123111.26553,1112484.99524,1038367.30376,1051807.95222
2038,1059730.08057,1153454.77751,1138431.24792,1069171.05248,1082370.79213
2039,1088823.2952,1180771.7876,1161892.7923,1097038.75859,1110003.23572
2040,1126727.4148,1216921.02368,1193484.87658,1133543.00318,1146277.73177
2041,1139235.91727,1227784.2157,1202567.00682,1145368.87142,1157879.23618
2042,1152065.15057,1239006.70047,1212050.17341,1157531.46971,1169822.72917
2043,1165215.11471,1250587.57434,1221932.49445,1170030.42313,1182107.71258
2044,1179327.27134,1263167.41624,1232853.59335,1183506.8271,1195375.16146
2045,1193760.1588,1276103.90263,1244170.21355,1197318.86237,1208983.13903
2046,1209475.9696,1290358.38418,1256842.79446,1212428.37216,1223893.37372
2047,1225833.24206,1305288.57736,1270228.16286,1228193.55383,1239463.95079
2048,1242831.97619,1320893.67934,1284324.64685,1244614.07427,1255694.42768
2049,1260151.44115,1336852.17538,1298809.88311,1261368.87742,1272263.64143
2050,1278433.0986,1353804.76167,1314323.73918,1279099.10735,1289812.6317
