year,Base case diesel consumed,Modeled solar power (pv)
2016,209734.811953,206456.628111
2017,211232.917753,207980.959382
2018,212390.544961,209164.602258
2019,213003.406425,209803.271263
2020,213684.363607,210509.829526
2021,214569.607943,211420.470134
2022,215318.660843,212194.716137
2023,216135.809461,213036.856312
2024,216884.86236,213810.700837
2025,217702.010978,214652.442748
2026,218451.063878,215425.892193
2027,219336.308214,216335.337903
2028,220357.743987,217380.781438
2029,220357.743987,217404.597138
2030,220766.318296,217836.796622
2031,221651.562632,218745.477132
2032,223217.76415,220334.927334
2033,225056.34854,222196.574419
2034,226963.028649,224126.13272
2035,228869.708758,226055.507996
