year,annotation,diesel generation efficiency
2002,,14.42
2003,,14.26
2004,,14.58
2005,,14.7
2006,,14.34
2007,,13.4
2008,,15.0
2009,,14.27
2010,,14.4
2011,,14.68
2012,,14.59
2013,,14.79
2016,start of forecast,14.69
2017,,14.69
2018,,14.69
2019,,14.69
2020,,14.69
2021,,14.69
2022,,14.69
2023,,14.69
2024,,14.69
2025,,14.69
2026,,14.69
2027,,14.69
2028,,14.69
2029,,14.69
2030,,14.69
2031,,14.69
2032,,14.69
2033,,14.69
2034,,14.69
2035,,14.69
2036,,14.69
2037,,14.69
2038,,14.69
2039,,14.69
2040,,14.69
