year,Base case cost,Modeled residential energy efficiency
2017,1951159.7209,1942562.72184
2018,2087145.75309,2048962.69914
2019,2262221.03548,2186111.61325
2020,2352230.12127,2254551.54355
2021,2426438.07862,2311965.48874
2022,2476304.2877,2348265.64515
2023,2518130.2244,2378206.38395
2024,2560528.00318,2410396.60717
2025,2598699.3359,2437719.16634
2026,2645525.0351,2472279.90309
2027,2693171.13828,2509329.49554
2028,2727819.45862,2534274.92746
2029,2766237.7414,2560793.45995
2030,2796909.78941,2582769.4656
2031,2854379.96213,2628569.31955
