year,Base case diesel consumed,Modeled transmission and interties
2021,675645.715649,337822.857824
2022,677143.821448,338571.910724
2023,678778.118684,339389.059342
2024,680276.224484,340138.112242
2025,681910.52172,340955.26086
2026,683408.62752,341704.31376
2027,685179.116192,342589.558096
2028,687221.987737,343610.993868
2029,687221.987737,343610.993868
2030,688039.136355,344019.568177
2031,689809.625027,344904.812514
2032,692942.028063,346471.014031
2033,696619.196844,348309.598422
2034,700432.557061,350216.278531
2035,704245.917279,352122.958639
2036,707786.894623,353893.447312
2037,711464.063404,355732.031702
2038,715413.615058,357706.807529
2039,719907.932457,359953.966228
2040,724947.015601,362473.507801
