year,Base case diesel consumed,Modeled residential ashp
2017,57338.1178966,-216447.405229
2018,57779.4037057,-216006.11942
2019,58000.0466103,-215785.476516
2020,58220.6895148,-215564.833611
2021,58661.9753239,-215123.547802
2022,58882.6182285,-214902.904897
2023,59103.261133,-214682.261993
2024,59544.5469421,-214240.976184
2025,59765.1898466,-214020.333279
2026,59985.8327512,-213799.690375
2027,60427.1185603,-213358.404566
2028,60647.7614648,-213137.761661
2029,60647.7614648,-213137.761661
2030,60868.4043694,-212917.118757
2031,61309.6901785,-212475.832947
