year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2013,,1208.35,539576.0,0.0,539576.0
2014,,1208.35,439888.0,0.0,439888.0
2015,,1208.35,279782.0,0.0,279782.0
2016,start of forecast,1208.35,373000.0,4620.0,368380.0
2017,,1208.35,360000.0,4620.0,355380.0
2018,,1208.35,347000.0,4620.0,342380.0
2019,,1208.35,334000.0,4620.0,329380.0
2020,,1208.35,319000.0,4620.0,314380.0
2021,,1208.35,305000.0,4620.0,300380.0
2022,,1208.35,291000.0,4620.0,286380.0
2023,,1208.35,281000.0,4620.0,276380.0
2024,,1208.35,270000.0,4620.0,265380.0
2025,,1208.35,258000.0,4620.0,253380.0
2026,,1208.35,244000.0,4620.0,239380.0
2027,,1208.35,229000.0,4620.0,224380.0
2028,,1208.35,213000.0,4620.0,208380.0
2029,,1208.35,196000.0,4620.0,191380.0
2030,,1208.35,182000.0,4620.0,177380.0
2031,,1208.35,168000.0,4620.0,163380.0
2032,,1208.35,153000.0,4620.0,148380.0
2033,,1208.35,139000.0,4620.0,134380.0
2034,,1208.35,126000.0,4620.0,121380.0
2035,,1208.35,114000.0,4620.0,109380.0
2036,,1208.35,102000.0,4620.0,97380.0
2037,,1208.35,91000.0,4620.0,86380.0
2038,,1208.35,80000.0,4620.0,75380.0
2039,,1208.35,69000.0,4620.0,64380.0
2040,,1208.35,59000.0,4620.0,54380.0
