year,Base case cost,Modeled water and wastewater efficiency
2017,90385.5411177,70312.6793955
2018,95673.5092442,73672.8820623
2019,102805.752572,78276.5374895
2020,106113.51099,80317.6226212
2021,108364.094443,81652.5537451
2022,110086.864755,82637.5293603
2023,111279.745692,83269.4571735
2024,112209.020205,83728.6210482
2025,113402.04217,84369.3649517
2026,114727.99641,85104.5222318
2027,115921.83729,85754.8826913
2028,116853.082458,86233.5295498
2029,118178.777499,86980.9054892
2030,118976.187992,87375.8718599
2031,120299.58712,88127.8013037
