year,Base case cost,Modeled residential energy efficiency
2017,876463.7523,848087.245388
2018,926788.596792,895822.284413
2019,974024.806261,939746.123495
2020,995893.421755,959834.283336
2021,1028173.38607,990764.285576
2022,1039743.33965,1001204.76852
2023,1065498.1531,1026050.35089
2024,1071834.89077,1031592.97896
2025,1079982.12492,1038851.24056
2026,1107175.99994,1065113.48154
2027,1115460.50037,1072528.32946
2028,1140289.42229,1096601.79272
2029,1149646.94087,1105055.64776
2030,1173890.90254,1128614.58002
2031,1183400.93921,1137238.52462
2032,1212811.71808,1165719.25347
2033,1223440.52832,1175426.29305
2034,1253354.6169,1204426.69631
2035,1260225.1679,1210601.20202
2036,1290581.55895,1240059.51436
