year,Base case cost,Modeled wind power
2019,138755.760867,
2020,139045.432054,
2021,137147.190282,
2022,133885.501129,
2023,131301.936848,
2024,127638.088232,
2025,123784.006788,
2026,118957.386917,
2027,113201.313531,
2028,106355.706511,
2029,99288.2340646,
2030,92919.907622,
2031,86959.8283623,
2032,80348.4135596,
2033,74010.2734613,
2034,67973.1559604,
2035,61896.9223387,
2036,56006.9527555,
2037,50188.8586237,
2038,44558.1888969,
